Date,Open,High,Low,Close,Adj Close,Volume
2017-07-07,179000.000000,184500.000000,178500.000000,181000.000000,181000.000000,41749
2017-07-10,180000.000000,181500.000000,178000.000000,178500.000000,178500.000000,32131
2017-07-11,178500.000000,180000.000000,178000.000000,178500.000000,178500.000000,16605
2017-07-12,178500.000000,180500.000000,178500.000000,179000.000000,179000.000000,25782
2017-07-13,180500.000000,180500.000000,178500.000000,178500.000000,178500.000000,41583
2017-07-14,179000.000000,182000.000000,178000.000000,180000.000000,180000.000000,40459
2017-07-17,181500.000000,184500.000000,179500.000000,180000.000000,180000.000000,34357
2017-07-18,181500.000000,184000.000000,180000.000000,184000.000000,184000.000000,38709
2017-07-19,185000.000000,185000.000000,180000.000000,181000.000000,181000.000000,45078
2017-07-20,181500.000000,181500.000000,177500.000000,178500.000000,178500.000000,59473
2017-07-21,178000.000000,179000.000000,175500.000000,176000.000000,176000.000000,40432
2017-07-24,177500.000000,180500.000000,177000.000000,179500.000000,179500.000000,18777
2017-07-25,180000.000000,181000.000000,178500.000000,180000.000000,180000.000000,23422
2017-07-26,181500.000000,181500.000000,180000.000000,181000.000000,181000.000000,24218
2017-07-27,181500.000000,183500.000000,180500.000000,183500.000000,183500.000000,26063
2017-07-28,182000.000000,185000.000000,182000.000000,184000.000000,184000.000000,36922
2017-07-31,185500.000000,188000.000000,184000.000000,186500.000000,186500.000000,32315
2017-08-01,186500.000000,187000.000000,182500.000000,183500.000000,183500.000000,33147
2017-08-02,183000.000000,183500.000000,180500.000000,181000.000000,181000.000000,31981
2017-08-03,181000.000000,182500.000000,178500.000000,182000.000000,182000.000000,39088
2017-08-04,182000.000000,186500.000000,182000.000000,185000.000000,185000.000000,49315
2017-08-07,185500.000000,185500.000000,178000.000000,180000.000000,180000.000000,80388
2017-08-08,179000.000000,181000.000000,171000.000000,172000.000000,172000.000000,146438
2017-08-09,170000.000000,173500.000000,170000.000000,171000.000000,171000.000000,38455
2017-08-10,171000.000000,174000.000000,170500.000000,174000.000000,174000.000000,30575
2017-08-11,170500.000000,173500.000000,167500.000000,168500.000000,168500.000000,37694
2017-08-14,168500.000000,171000.000000,168500.000000,169000.000000,169000.000000,15011
2017-08-16,170500.000000,172000.000000,169000.000000,169500.000000,169500.000000,23765
2017-08-17,169000.000000,172000.000000,168500.000000,171500.000000,171500.000000,28040
2017-08-18,170000.000000,171500.000000,169500.000000,170000.000000,170000.000000,20917
2017-08-21,169500.000000,170000.000000,167000.000000,168500.000000,168500.000000,24898
2017-08-22,169000.000000,170500.000000,168000.000000,168500.000000,168500.000000,15810
2017-08-23,168000.000000,169500.000000,166500.000000,167500.000000,167500.000000,23884
2017-08-24,167000.000000,168500.000000,166500.000000,167000.000000,167000.000000,19803
2017-08-25,167000.000000,167000.000000,164000.000000,165500.000000,165500.000000,39943
2017-08-28,165500.000000,168000.000000,165000.000000,167000.000000,167000.000000,29786
2017-08-29,167500.000000,167500.000000,164000.000000,166500.000000,166500.000000,28460
2017-08-30,165000.000000,170000.000000,165000.000000,170000.000000,170000.000000,28714
2017-08-31,169500.000000,170500.000000,168000.000000,169000.000000,169000.000000,18002
2017-09-01,168500.000000,168500.000000,165500.000000,166000.000000,166000.000000,20090
2017-09-04,164500.000000,166000.000000,164500.000000,165000.000000,165000.000000,21247
2017-09-05,165500.000000,167000.000000,165000.000000,166500.000000,166500.000000,13130
2017-09-06,166500.000000,166500.000000,165000.000000,166000.000000,166000.000000,38215
2017-09-07,167000.000000,168000.000000,165500.000000,166500.000000,166500.000000,12030
2017-09-08,167500.000000,168000.000000,165000.000000,166000.000000,166000.000000,13459
2017-09-11,167000.000000,171000.000000,166500.000000,167500.000000,167500.000000,41196
2017-09-12,168500.000000,170000.000000,165500.000000,166000.000000,166000.000000,23331
2017-09-13,166000.000000,166500.000000,163500.000000,164500.000000,164500.000000,26990
2017-09-14,163500.000000,165000.000000,162000.000000,163500.000000,163500.000000,33516
2017-09-15,164000.000000,164500.000000,161500.000000,162500.000000,162500.000000,42270
2017-09-18,162500.000000,162500.000000,161000.000000,161500.000000,161500.000000,35512
2017-09-19,161000.000000,162500.000000,161000.000000,162000.000000,162000.000000,25542
2017-09-20,162500.000000,163000.000000,159000.000000,159500.000000,159500.000000,32075
2017-09-21,159500.000000,160500.000000,156500.000000,157000.000000,157000.000000,51155
2017-09-25,157500.000000,158000.000000,150500.000000,152000.000000,152000.000000,66749
2017-09-26,152000.000000,152000.000000,152000.000000,152000.000000,152000.000000,0
2017-09-27,155000.000000,160000.000000,154500.000000,160000.000000,160000.000000,72153
2017-09-28,160000.000000,161000.000000,157000.000000,160000.000000,160000.000000,39601
2017-09-29,161000.000000,163500.000000,160000.000000,163500.000000,163500.000000,37193
2017-10-10,163500.000000,168000.000000,163500.000000,166500.000000,166500.000000,50431
2017-10-11,165000.000000,167000.000000,164000.000000,166500.000000,166500.000000,87197
2017-10-12,165500.000000,166000.000000,164500.000000,165500.000000,165500.000000,28296
2017-10-13,164500.000000,165500.000000,161500.000000,164000.000000,164000.000000,35224
2017-10-16,164000.000000,165000.000000,162000.000000,164000.000000,164000.000000,19888
2017-10-17,163500.000000,164500.000000,161000.000000,162000.000000,162000.000000,23863
2017-10-18,162000.000000,164000.000000,161000.000000,161500.000000,161500.000000,19948
2017-10-19,162000.000000,166000.000000,161500.000000,162500.000000,162500.000000,27159
2017-10-20,162500.000000,163000.000000,161500.000000,163000.000000,163000.000000,25366
2017-10-23,162500.000000,163000.000000,161000.000000,161500.000000,161500.000000,20325
2017-10-24,161500.000000,162000.000000,160500.000000,161000.000000,161000.000000,17498
2017-10-25,161000.000000,162000.000000,157000.000000,157500.000000,157500.000000,74706
2017-10-26,157000.000000,160500.000000,156500.000000,160500.000000,160500.000000,46246
2017-10-27,159500.000000,162500.000000,159500.000000,161000.000000,161000.000000,31194
2017-10-30,161500.000000,161500.000000,157000.000000,158000.000000,158000.000000,29272
2017-10-31,158000.000000,159000.000000,156500.000000,157000.000000,157000.000000,39647
2017-11-01,156500.000000,157500.000000,155000.000000,155500.000000,155500.000000,37702
2017-11-02,154500.000000,156000.000000,153500.000000,154500.000000,154500.000000,42446
2017-11-03,155500.000000,158500.000000,155500.000000,157500.000000,157500.000000,28737
2017-11-06,156500.000000,157500.000000,155000.000000,157000.000000,157000.000000,20386
2017-11-07,156000.000000,159000.000000,156000.000000,158500.000000,158500.000000,25311
2017-11-08,158000.000000,160000.000000,155500.000000,156500.000000,156500.000000,53011
